ACW00011604|17.1167|-61.7833|10.1||ST JOHNS COOLIDGE FLD
ACW00011647|17.1333|-61.7833|19.2||ST JOHNS
AE000041196|25.3330|55.5170|34.0||SHARJAH INTER. AIRP
AF000040930|35.3170|69.0170|3366.0||NORTH-SALANG
AG000060390|36.7167|3.2500|24.0||ALGER-DAR EL BEIDA
AG000060590|30.5667|2.8667|397.0||EL-GOLEA
AG000060611|28.0500|9.6331|561.0||IN-AMENAS
AG000060680|22.8000|5.4331|1362.0||TAMANRASSET
AGE00135039|35.7297|0.6500|50.0||ORAN-HOPITAL MILITAIRE
AJ000037575|41.5500|46.6670|490.0||ZAKATALA
AJ000037579|41.7000|46.8000|1746.0||ALIBEK
AJ000037605|41.3000|45.6000|440.0||BOGDANOVKA
AJ000037636|41.3000|45.5000|404.0||DJEYRANCELSKAJ-STEP'
AJ000037639|41.1330|45.4170|333.0||AGSTAPHA AIRPORT
AJ000037656|41.2000|46.8000|403.0||ADJINAURSKAYA_STEP'
AJ000037661|41.2170|47.1670|641.0||SHAKI
AJ000037668|41.1000|47.5000|583.0||VARTASHEN
AJ000037673|41.5000|48.8000|27.0||HACMAS
AJ000037674|41.2000|48.2000|999.0||KRIC
AJ000037675|41.3670|48.5170|552.0||GUBA
